epoch train val
1 1.3097 1.5684
21 0.7449 0.8876
41 0.4923 0.6001
61 0.3609 0.4510
81 0.2882 0.3699
101 0.2461 0.3239
121 0.2210 0.2958
141 0.2055 0.2785
161 0.1949 0.2674
181 0.1877 0.2595
201 0.1823 0.2538
221 0.1785 0.2505
241 0.1753 0.2474
261 0.1726 0.2452
281 0.1704 0.2437
301 0.1684 0.2423
321 0.1668 0.2416
341 0.1653 0.2406
361 0.1640 0.2398
381 0.1628 0.2387
401 0.1616 0.2381
421 0.1605 0.2373
441 0.1595 0.2366
461 0.1586 0.2358
481 0.1576 0.2353
501 0.1568 0.2347
521 0.1559 0.2342
541 0.1552 0.2337
561 0.1544 0.2330
581 0.1536 0.2324
601 0.1530 0.2319
621 0.1523 0.2318
641 0.1517 0.2311
661 0.1511 0.2309
681 0.1505 0.2304
701 0.1498 0.2299
721 0.1492 0.2296
741 0.1487 0.2292
761 0.1482 0.2288
781 0.1477 0.2286
801 0.1473 0.2283
821 0.1468 0.2279
841 0.1464 0.2275
861 0.1460 0.2272
881 0.1455 0.2268
901 0.1451 0.2265
921 0.1447 0.2262
941 0.1443 0.2258
961 0.1439 0.2254
981 0.1435 0.2251
1000 0.1432 0.2249
