epoch train val
1 1.3087 1.5898
21 0.7348 1.0024
41 0.4817 0.7519
61 0.3527 0.6228
81 0.2828 0.5519
101 0.2433 0.5119
121 0.2200 0.4857
141 0.2053 0.4699
161 0.1959 0.4610
181 0.1895 0.4531
201 0.1850 0.4485
221 0.1812 0.4450
241 0.1784 0.4436
261 0.1757 0.4412
281 0.1735 0.4385
301 0.1716 0.4368
321 0.1698 0.4360
341 0.1679 0.4340
361 0.1664 0.4320
381 0.1647 0.4302
401 0.1631 0.4283
421 0.1617 0.4260
441 0.1604 0.4252
461 0.1591 0.4244
481 0.1579 0.4230
501 0.1568 0.4214
521 0.1556 0.4205
541 0.1545 0.4187
561 0.1534 0.4176
581 0.1523 0.4171
601 0.1512 0.4168
621 0.1502 0.4161
641 0.1493 0.4152
661 0.1484 0.4149
681 0.1475 0.4142
701 0.1466 0.4137
721 0.1458 0.4137
741 0.1450 0.4129
761 0.1442 0.4125
781 0.1433 0.4113
801 0.1426 0.4108
821 0.1417 0.4104
841 0.1410 0.4099
861 0.1404 0.4097
881 0.1396 0.4092
901 0.1390 0.4086
921 0.1383 0.4082
941 0.1377 0.4068
961 0.1370 0.4066
981 0.1364 0.4061
1000 0.1358 0.4062
