frame depth mprob bprob
0 0.0000 0.3302 0.0000
1 0.0544 0.1629 0.0007
2 0.1092 0.0294 0.0009
3 0.1606 0.0160 0.0036
4 0.2063 0.0150 0.0000
5 0.2454 0.0070 0.0000
6 0.2784 0.0049 0.0034
7 0.3066 0.0020 0.0025
8 0.3316 0.0052 0.0004
9 0.3550 0.0092 0.0000
10 0.3780 0.0019 0.0001
11 0.4011 0.0016 0.0002
12 0.4242 0.0006 0.0002
13 0.4469 0.0006 0.0002
14 0.4692 0.0025 0.0002
15 0.4916 0.0025 0.0008
16 0.5146 0.0007 0.0001
17 0.5387 0.0012 0.0019
18 0.5637 0.0006 0.0001
19 0.5890 0.0023 0.0017
20 0.6133 0.0084 0.0021
21 0.6354 0.0102 0.0064
22 0.6545 0.0048 0.0288
23 0.6703 0.0002 0.0187
24 0.6831 0.0122 0.0586
25 0.6936 0.0055 0.1263
26 0.7022 0.0029 0.2087
27 0.7096 0.0012 0.3186
28 0.7158 0.0021 0.6007
29 0.7204 0.0037 0.7970
30 0.7230 0.0000 0.9380
31 0.7227 0.0005 0.9399
32 0.7189 0.0002 0.9274
33 0.7105 0.0003 0.9040
34 0.6971 0.0005 0.8682
35 0.6786 0.0015 0.8061
36 0.6553 0.0110 0.6848
37 0.6279 0.0212 0.1862
38 0.5973 0.0165 0.1409
39 0.5650 0.0236 0.0708
40 0.5324 0.0191 0.0500
41 0.5012 0.0237 0.0425
42 0.4722 0.0391 0.0431
43 0.4459 0.0576 0.0289
44 0.4224 0.0632 0.0232
45 0.4018 0.0841 0.0394
46 0.3847 0.1294 0.0552
47 0.3717 0.2264 0.0693
48 0.3627 0.3104 0.0579
49 0.3575 0.3402 0.0637
50 0.3556 0.2936 0.0715
51 0.3561 0.2571 0.0874
52 0.3587 0.1852 0.0768
53 0.3627 0.2111 0.0723
54 0.3677 0.2104 0.0694
55 0.3733 0.1823 0.0679
56 0.3793 0.1675 0.0965
57 0.3853 0.1478 0.0944
58 0.3910 0.1369 0.0842
59 0.3962 0.1403 0.0854
60 0.4006 0.1107 0.1216
61 0.4041 0.0727 0.1343
62 0.4062 0.0536 0.1345
63 0.4066 0.0673 0.1460
64 0.4051 0.0497 0.1951
65 0.4012 0.0676 0.1783
66 0.3943 0.0377 0.1811
67 0.3839 0.0295 0.0985
68 0.3695 0.0203 0.0494
69 0.3510 0.0116 0.0082
70 0.3285 0.0480 0.0054
71 0.3026 0.0760 0.0121
72 0.2744 0.0747 0.0081
73 0.2455 0.0700 0.0179
74 0.2173 0.0691 0.0115
75 0.1913 0.0958 0.0190
76 0.1688 0.1444 0.0211
77 0.1511 0.3152 0.0235
78 0.1391 0.6119 0.0121
79 0.1331 0.6664 0.0064
80 0.1328 0.7408 0.0090
81 0.1370 0.8058 0.0052
82 0.1445 0.8628 0.0027
83 0.1541 0.8908 0.0019
84 0.1653 0.8925 0.0012
85 0.1780 0.9148 0.0024
86 0.1921 0.8884 0.0031
87 0.2078 0.8683 0.0031
88 0.2252 0.8412 0.0023
89 0.2446 0.7037 0.0045
90 0.2663 0.5893 0.0032
91 0.2908 0.4894 0.0047
92 0.3185 0.3193 0.0067
93 0.3492 0.2130 0.0082
94 0.3825 0.1097 0.0196
95 0.4179 0.1181 0.0027
96 0.4553 0.0477 0.0019
97 0.4947 0.0235 0.0009
98 0.5361 0.0085 0.0003
99 0.5787 0.0011 0.0009
100 0.6211 0.0018 0.0048
101 0.6619 0.0094 0.0003
102 0.7001 0.0027 0.0008
103 0.7354 0.0058 0.0002
104 0.7678 0.0075 0.0026
105 0.7975 0.0097 0.0068
106 0.8242 0.0046 0.0044
107 0.8478 0.0035 0.0051
108 0.8683 0.0112 0.0103
109 0.8864 0.0113 0.0199
110 0.9026 0.0083 0.0189
111 0.9179 0.0083 0.0404
112 0.9328 0.0024 0.0688
113 0.9477 0.0018 0.1582
114 0.9623 0.0033 0.2368
115 0.9758 0.0006 0.3829
116 0.9874 0.0010 0.8028
117 0.9959 0.0023 0.9248
118 1.0000 0.0008 0.9833
119 0.9986 0.0008 0.9838
120 0.9904 0.0003 0.9771
121 0.9748 0.0002 0.9446
122 0.9513 0.0062 0.7437
123 0.9199 0.0137 0.4932
124 0.8810 0.0097 0.1950
125 0.8350 0.0015 0.0322
126 0.7820 0.0015 0.0142
127 0.7224 0.0019 0.0090
