frame depth mprob bprob
0 0.1273 0.6613 0.0000
1 0.1685 0.3991 0.0000
2 0.2126 0.0920 0.0000
3 0.2584 0.0057 0.0000
4 0.3049 0.0038 0.0001
5 0.3515 0.0011 0.0002
6 0.3975 0.0010 0.0002
7 0.4426 0.0050 0.0008
8 0.4868 0.0030 0.0002
9 0.5307 0.0021 0.0003
10 0.5743 0.0007 0.0001
11 0.6178 0.0006 0.0001
12 0.6610 0.0005 0.0001
13 0.7030 0.0002 0.0006
14 0.7436 0.0004 0.0001
15 0.7823 0.0001 0.0000
16 0.8185 0.0001 0.0000
17 0.8521 0.0001 0.0000
18 0.8831 0.0001 0.0012
19 0.9115 0.0000 0.0009
20 0.9370 0.0012 0.0056
21 0.9590 0.0000 0.0268
22 0.9767 0.0043 0.1221
23 0.9895 0.0009 0.7367
24 0.9972 0.0004 0.9527
25 1.0000 0.0002 0.9786
26 0.9982 0.0000 0.9928
27 0.9919 0.0000 0.9905
28 0.9811 0.0005 0.9549
29 0.9654 0.0011 0.7836
30 0.9447 0.0042 0.4409
31 0.9189 0.0000 0.0949
32 0.8885 0.0000 0.0394
33 0.8540 0.0000 0.0251
34 0.8162 0.0000 0.0103
35 0.7762 0.0000 0.0042
36 0.7353 0.0000 0.0026
37 0.6937 0.0000 0.0068
38 0.6517 0.0000 0.0016
39 0.6086 0.0001 0.0011
40 0.5641 0.0001 0.0035
41 0.5185 0.0000 0.0027
42 0.4722 0.0002 0.0016
43 0.4258 0.0000 0.0003
44 0.3800 0.0000 0.0004
45 0.3349 0.0000 0.0003
46 0.2909 0.0001 0.0002
47 0.2486 0.0018 0.0002
48 0.2087 0.0001 0.0001
49 0.1722 0.0015 0.0001
50 0.1404 0.0050 0.0000
51 0.1142 0.0000 0.0000
52 0.0941 0.0000 0.0000
53 0.0800 0.0058 0.0000
54 0.0704 0.0126 0.0021
55 0.0638 0.0297 0.0018
56 0.0588 0.0830 0.0069
57 0.0544 0.1345 0.0057
58 0.0508 0.3373 0.0012
59 0.0484 0.5527 0.0000
60 0.0474 0.6602 0.0000
61 0.0479 0.7726 0.0031
62 0.0500 0.9023 0.0000
63 0.0539 0.9515 0.0003
64 0.0604 0.9686 0.0000
65 0.0704 0.9646 0.0000
66 0.0847 0.9502 0.0000
67 0.1037 0.8782 0.0000
68 0.1269 0.7958 0.0000
69 0.1537 0.7166 0.0000
70 0.1831 0.6028 0.0000
71 0.2142 0.4034 0.0000
72 0.2463 0.2536 0.0019
73 0.2785 0.1304 0.0000
74 0.3102 0.0412 0.0001
75 0.3410 0.0178 0.0008
76 0.3703 0.0153 0.0003
77 0.3984 0.0233 0.0005
78 0.4256 0.0137 0.0021
79 0.4523 0.0019 0.0002
80 0.4785 0.0021 0.0003
81 0.5043 0.0007 0.0002
82 0.5291 0.0011 0.0001
83 0.5527 0.0005 0.0001
84 0.5749 0.0002 0.0001
85 0.5954 0.0003 0.0025
86 0.6141 0.0007 0.0002
87 0.6310 0.0020 0.0037
88 0.6458 0.0006 0.0058
89 0.6586 0.0017 0.0035
90 0.6692 0.0076 0.0279
91 0.6775 0.0022 0.0832
92 0.6839 0.0025 0.2836
93 0.6885 0.0007 0.7156
94 0.6914 0.0009 0.8479
95 0.6925 0.0002 0.9465
96 0.6914 0.0004 0.9742
97 0.6878 0.0005 0.9805
98 0.6817 0.0003 0.9750
99 0.6733 0.0008 0.9616
100 0.6627 0.0018 0.9404
101 0.6505 0.0053 0.6283
102 0.6368 0.0053 0.5568
103 0.6221 0.0024 0.3042
104 0.6065 0.0070 0.1604
105 0.5900 0.0033 0.0849
106 0.5722 0.0047 0.0387
107 0.5522 0.0032 0.0209
108 0.5291 0.0011 0.0223
109 0.5026 0.0014 0.0178
110 0.4725 0.0000 0.0233
111 0.4390 0.0000 0.0305
112 0.4022 0.0000 0.0176
113 0.3621 0.0000 0.0168
114 0.3193 0.0000 0.0073
115 0.2749 0.0000 0.0050
116 0.2310 0.0000 0.0010
117 0.1899 0.0000 0.0011
118 0.1535 0.0000 0.0005
119 0.1230 0.0001 0.0000
120 0.0980 0.0001 0.0000
121 0.0774 0.0001 0.0001
122 0.0601 0.0002 0.0000
123 0.0451 0.0001 0.0000
124 0.0320 0.0001 0.0000
125 0.0209 0.0001 0.0000
126 0.0119 0.0001 0.0000
127 0.0050 0.0001 0.0000
